token symbol
31415 NBCC
2319 NCC
17400 NHPC
8585 NLCINDIA
15332 NMDC
14180 NSLNISP
27176 NTPCGREEN
11630 NTPC
11840 NH
6364 NATIONALUM
4014 NAVA
14672 NAVINFLUOR
17963 NESTLEIND
17433 NETWEB
14111 NETWORK18
2406 NEULANDLAB
1164 NEWGEN
357 NAM-INDIA
27097 NIVABUPA
18721 NUVAMA
20242 OBEROIRLTY
2475 ONGC
17438 OIL
24777 OLAELEC
10637 OLECTRA
6705 PAYTM
10738 OFSS
6656 POLICYBZR
2649 PCBL
25358 PGEL
24184 PIIND
18908 PNBHOUSING
9385 PNCINFRA
16682 PTCIL
13147 PVRINOX
14413 PAGEIND
17029 PATANJALI
18365 PERSISTENT
11351 PETRONET
2643 PFIZER
14552 PHOENIXLTD
2664 PIDILITIND
2412 PEL
11571 PPLPHARMA
25718 POLYMED
9590 POLYCAB
11403 POONAWALLA
14299 PFC
14977 POWERGRID
2705 PRAJIND
25049 PREMIERENE
20302 PRESTIGE
10666 PNB
18566 RRKABEL
18391 RBLBANK
15355 RECLTD
31163 RHIM
3761 RITES
10990 RADICO
9552 RVNL
2431 RAILTEL
9408 RAINBOW
11411 RKFORGE
2866 RCF
27297 RTNINDIA
25073 RAYMONDLSL
2859 RAYMOND
14255 REDINGTON
2885 RELIANCE
532939 RPOWER
128 ROUTE
18026 SBFC
17971 SBICARD
21808 SBILIFE
18883 SJVN
3186 SKFINDIA
3273 SRF
27052 SAGILITY
27839 SAILIFE
30125 SAMMAANCAP
4204 MOTHERSON
6718 SAPPHIRE
17758 SARDAEN
4892 SAREGAMA
1011 SCHAEFFLER
31234 SCHNEIDER
3048 SCI
3103 SHREECEM
12026 RENUKA
4306 SHRIRAMFIN
4693 SHYAMMETL
3150 SIEMENS
18743 SIGNATURE
13826 SOBHA
13332 SOLARINDS
4684 SONACOMS
6596 SONATSOFTW
7083 STARHEALTH
3045 SBIN
2963 SAIL
12489 SWSOLAR
17105 SUMICHEM
3351 SUNPHARMA
13404 SUNTV
3339 SUNDARMFIN
3345 SUNDRMFAST
3363 SUPREMEIND
12018 SUZLON
27095 SWANENERGY
27066 SWIGGY
10243 SYNGENE
10793 SYRMA
23740 TBOTEK
8479 TVSMOTOR
13976 TANLA
3405 TATACHEM
3721 TATACOMM
11536 TCS
3432 TATACONSUM
3411 TATAELXSI
1621 TATAINVEST
3456 TATAMOTORS
3426 TATAPOWER
3499 TATASTEEL
20293 TATATECH
8958 TTML
13538 TECHM
6445 TECHNOE
21131 TEJASNET
399 NIACL
2043 RAMCOCEM
3475 THERMAX
14198 TIMKEN
15414 TITAGARH
3506 TITAN
3518 TORNTPHARM
13786 TORNTPOWER
15174 TARIL
1964 TRENT
9685 TRIDENT
13081 TRIVENI
25584 TRITURBINE
312 TIINDIA
11223 UCOBANK
14154 UNOMINDA
11287 UPL
527 UTIAMC
11532 ULTRACEMCO
10753 UNIONBANK
16713 UBL
10447 UNITDSPR
8840 USHAMART
15362 VGUARD
18124 DBREALTY
2073 VTL
18921 VBL
8167 MANYAVAR
3063 VEDL
5585 VIJAYA
27969 VMM
14366 IDEA
3718 VOLTAS
25907 WAAREEENER
11821 WELCORP
11253 WELSPUNLIV
11580 WESTLIFE
18011 WHIRLPOOL
3787 WIPRO
7506 WOCKPHARMA
11915 YESBANK
16915 ZFCVINDIA
3812 ZEEL
7508 ZENTEC
1076 ZENSARTECH
7929 ZYDUSLIFE
15179 ECLERX
